CD,Year,Target_Presidential_D,Target_Presidential_R,Previous_Presidential_D,Previous_Presidential_R
FL-24,2012,85.7,13.9,84,15.6
FL-25,2012,44.9,54.5,40.6,58.8
FL-26,2012,55.4,43.9,51.5,47.9
FL-27,2012,53,46.3,50.1,49.3
GA-01,2012,43,55.9,44.4,55
GA-02,2012,58.6,40.8,57.9,41.6
GA-03,2012,33,65.9,34,65.3
GA-04,2012,73.6,25.6,73.2,26.3
GA-05,2012,83.1,15.8,84.4,15
GA-06,2012,37.5,60.8,40.1,59
GA-07,2012,38.3,60.2,39.1,60.1
GA-08,2012,37.5,61.6,37.8,61.6
GA-09,2012,20.5,78.1,24.3,74.7
GA-10,2012,36.3,62.5,38.8,60.4
GA-11,2012,31.5,66.9,34.7,64.3
GA-12,2012,43.6,55.4,43.9,55.6
GA-13,2012,69.2,30,67.1,32.3
GA-14,2012,25.3,73.2,27.8,71
HI-01,2012,69.7,29,70.3,28.3
HI-02,2012,71.4,26.7,73.4,24.9
IA-01,2012,56.2,42.5,58.5,40.4
IA-02,2012,55.8,42.7,57.1,41.6
IA-03,2012,51.4,47.2,52.4,46.3
IA-04,2012,45.3,53.4,48.5,50.2
ID-01,2012,32.2,64.9,35.1,62.5
ID-02,2012,33.1,64.1,37.1,60.5
IL-01,2012,78.9,20.2,80.8,18.5
IL-02,2012,80.7,18.5,81.1,18.2
IL-03,2012,55.9,42.6,58.3,40.4
IL-04,2012,80.9,17.1,80.5,18.2
IL-05,2012,66,31.8,69.9,28.8
IL-06,2012,45.1,53.3,51.3,47.3
IL-07,2012,87.2,11.8,89.4,9.9
IL-08,2012,57.4,40.9,61.5,37.1
IL-09,2012,65,33.3,68.6,30.3
IL-10,2012,57.5,41.1,63,35.9
IL-11,2012,57.8,40.6,61.3,37.5
IL-12,2012,49.7,48.1,54.7,43.6
IL-13,2012,48.6,48.9,54.6,43.6
IL-14,2012,44.2,54.2,50.7,48
IL-15,2012,34.1,63.9,42.8,55.4
IL-16,2012,45.2,52.9,50,48.2
IL-17,2012,57.6,40.6,60,38.5
IL-18,2012,37.4,60.7,44.1,54.4
IN-01,2012,61.2,37.4,63.3,35.8
IN-02,2012,42.1,56.1,49.6,49.3
IN-03,2012,35.7,62.5,43,56
IN-04,2012,36.9,60.9,44.6,54.2
IN-05,2012,40.7,57.5,46.6,52.6
