CD,Year,Target_Presidential_R,Target_Presidential_D,Previous_Presidential_D,Previous_Presidential_R
CA-21,2020,43.5,54.4,55.2,39.7
CA-22,2020,51.6,46.2,42.6,52.1
CA-23,2020,57.1,40.5,36.1,58.1
CA-24,2020,36.9,60.7,56.7,36.5
CA-25,2020,43.9,54.0,50.3,43.6
CA-26,2020,36.5,61.4,57.9,36.0
CA-27,2020,30.8,67.2,66.0,28.4
CA-28,2020,27.2,70.9,72.1,22.3
CA-29,2020,23.7,74.1,77.7,16.8
CA-30,2020,29.4,68.7,69.1,25.7
CA-31,2020,38.9,58.8,57.7,36.6
CA-32,2020,32.8,65.2,66.6,27.7
CA-33,2020,29.0,69.0,67.8,26.5
CA-34,2020,16.9,80.8,83.6,10.7
CA-35,2020,32.6,65.1,67.7,26.9
CA-36,2020,42.3,55.9,52.2,43.4
CA-37,2020,13.8,84.3,85.7,9.6
CA-38,2020,32.3,65.6,67.0,27.4
CA-39,2020,44.0,54.1,51.5,42.9
CA-40,2020,20.6,77.1,82.2,12.8
CA-41,2020,36.1,61.7,61.0,33.1
CA-42,2020,52.7,45.3,41.4,53.4
CA-43,2020,20.9,76.9,78.4,16.7
CA-44,2020,19.2,78.4,83.0,12.3
CA-45,2020,43.3,54.6,49.8,44.4
CA-46,2020,33.5,64.3,66.3,27.9
CA-47,2020,35.3,62.4,62.6,31.0
CA-48,2020,48.2,49.7,47.9,46.2
CA-49,2020,42.5,55.2,50.7,43.2
CA-50,2020,52.7,45.0,39.6,54.6
CA-51,2020,30.9,66.9,71.8,22.8
CA-52,2020,34.2,63.4,58.1,35.6
CA-53,2020,30.9,67.0,64.5,29.6
CO-01,2020,22.1,75.6,69.0,23.2
CO-02,2020,33.6,63.7,56.2,34.9
CO-03,2020,51.6,46.1,40.0,52.0
CO-04,2020,56.6,40.8,34.3,57.4
CO-05,2020,54.7,41.8,33.2,57.2
CO-06,2020,39.3,58.2,50.2,41.3
CO-07,2020,37.1,60.0,51.4,39.4
CT-01,2020,35.3,63.3,59.4,36.3
CT-02,2020,43.5,54.5,48.7,45.8
CT-03,2020,38.8,59.9,55.9,40.4
CT-04,2020,34.5,64.2,59.6,36.6
CT-05,2020,43.9,54.6,49.9,45.8
DE-AL,2020,39.8,58.8,53.4,41.9
FL-01,2020,65.9,32.4,28.2,67.5
FL-02,2020,67.0,32.0,30.6,66.2
FL-03,2020,56.0,42.8,40.2,56.2
FL-04,2020,59.9,38.9,34.1,62.1
FL-05,2020,36.2,62.7,61.3,35.9
FL-06,2020,58.3,40.8,39.9,56.9
FL-07,2020,44.2,54.6,51.4,44.1
FL-08,2020,58.3,40.6,37.7,58.4
FL-09,2020,46.1,53.0,54.8,41.9
FL-10,2020,37.0,62.0,61.8,34.9
FL-11,2020,65.4,33.8,32.5,64.8
FL-12,2020,57.9,41.0,38.8,57.4
FL-13,2020,47.4,51.5,49.6,46.4
FL-14,2020,41.6,57.2,57.2,39.0
FL-15,2020,53.7,45.2,43.1,53.1
FL-16,2020,53.6,45.5,43.0,53.7
FL-17,2020,63.3,35.9,35.0,62.2
FL-18,2020,53.9,45.5,44.1,53.3
FL-19,2020,59.7,39.6,37.5,59.6
FL-20,2020,22.1,77.3,80.2,18.1
